COBM	Cobleskill St.
WELM	Wells
HUSM	Husson
JSC	Johnson State
UMWML	Mary Washington
RMCMLX14	Randolph-Macon
UMW	Mary Washington
HSC	Hampden-Sydney
BW-M	Baldwin Wallace
CAP-M	Capital
RWU	Roger Williams
LCMLAX14	Lasell
ELMHURST	Elmhurst
AUGIE	Augustana (IL)
CENTRE_M	Centre
RHODES	Rhodes
RIT	RIT
STE	Stevenson
DREWML14	Drew
USMMA	Merchant Marine
RIVIER	Rivier
SJMML14	Saint Joseph\'s
SRU	Salve Regina
WIT	Wentworth
YCP	York (Pa.)
MUHL	Muhlenberg
HOOD	Hood
MSOE	MSOE
AU	Aurora
ANMML	Anna Maria
MCL	Mitchell
DPUM	DePauw
DENM	#5 Denison
SCRMLX14	Scranton
GOUM	Goucher
MSMC-M	Mt. St. Mary (N.Y.)
MARITIME	Maritime (N.Y.)
